date,name,event,location,location_link,organizer,status,reg_type,entry_fee,players,tags
02/27/2025 2:00 AM CEST,Friday Night Lorcana,https://melee.gg/Tournament/View/143228,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,The Dugout,Registration,Open Registration,,0,"['Core', 'Disney Lorcana', 'Tabletop']"
02/26/2025 2:00 AM CEST,Friday Night Lorcana,https://melee.gg/Tournament/View/143225,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,The Dugout,Registration,Open Registration,,0,"['Core', 'Disney Lorcana', 'Tabletop']"
02/25/2025 12:30 AM CEST,Monday Night Lorcana,https://melee.gg/Tournament/View/143217,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,The Dugout,Registration,Open Registration,,0,"['Core', 'Disney Lorcana', 'Tabletop']"
02/16/2025 9:00 PM CEST,Azurite Sea League: Round 3 - Week 4,https://melee.gg/Tournament/View/164702,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
02/09/2025 9:00 PM CEST,Azurite Sea League: Round 3 - Week 3,https://melee.gg/Tournament/View/164701,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
02/02/2025 9:00 PM CEST,Azurite Sea League: Round 3 - Week 2,https://melee.gg/Tournament/View/164700,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
01/26/2025 9:00 PM CEST,Azurite Sea League: Round 3 - Week 1,https://melee.gg/Tournament/View/164698,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
01/26/2025 7:00 PM CEST,Lorcana Casual League Week 42,https://melee.gg/Tournament/View/161429,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,Red Raccoon Games,Registration,Invite Only,,0,['Disney Lorcana']
01/24/2025 10:30 AM CEST,Theme Event @Carl Otto,https://melee.gg/Tournament/View/147240,"Langr Str 14Delmenhorst, Niedersachsen  27749DE",https://www.google.com/maps/dir/?api=1&destination=Langr%20Str%2014%2C%20Delmenhorst%2C%20Niedersachsen%20%2027749,Carl Otto Spiel und Freizeit GmbH,Registration,Invite Only,,0,"['Core', 'Disney Lorcana']"
01/19/2025 9:00 PM CEST,Azurite Sea League: Round 2 - Week 4,https://melee.gg/Tournament/View/164697,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
01/12/2025 9:00 PM CEST,Azurite Sea League: Round 2 - Week 3,https://melee.gg/Tournament/View/164695,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Core', 'Disney Lorcana', 'Tabletop', 'Weekly Play']"
01/12/2025 7:00 PM CEST,Lorcana Casual League Week 41,https://melee.gg/Tournament/View/161427,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,Red Raccoon Games,Registration,Invite Only,,0,['Disney Lorcana']
01/11/2025 10:00 AM CEST,WIN-A-TROVE - Lorcana Chapître 6 - 10ème jour de Ligue,https://melee.gg/Tournament/View/160491,"Avenue de la Résistance 257Soumagne, Liège 4630BE",https://www.google.com/maps/dir/?api=1&destination=Avenue%20de%20la%20R%C3%A9sistance%20257%2C%20Soumagne%2C%20Li%C3%A8ge%204630,FunChi,Registration,Open Registration,,0,"['Core', 'Disney Lorcana', 'Tabletop']"
01/05/2025 9:00 PM CEST,Azurite Sea League: Round 2 - Week 2,https://melee.gg/Tournament/View/164693,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
01/05/2025 7:00 PM CEST,Lorcana Casual Constructed Tournament January,https://melee.gg/Tournament/View/161432,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,Red Raccoon Games,Registration,Invite Only,,0,"['Disney Lorcana', 'Tabletop']"
01/04/2025 2:00 AM CEST,Friday Night Lorcana,https://melee.gg/Tournament/View/143226,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,The Dugout,Registration,Open Registration,,0,"['Core', 'Disney Lorcana', 'Tabletop']"
12/31/2024 4:00 AM CEST,Lorcana Monday,https://melee.gg/Tournament/View/147738,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,Spellhold Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/29/2024 9:00 PM CEST,Azurite Sea League: Round 2 - Week 1,https://melee.gg/Tournament/View/164692,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/29/2024 8:00 PM CEST,Vaughan Events - Sunday - Disney Lorcana! Challenge,https://melee.gg/Tournament/View/167347,"7700 Keele StUnit 6BVaughan, ON L4K 2A1CA",https://www.google.com/maps/dir/?api=1&destination=7700%20Keele%20St%2C%20Vaughan%2C%20ON%20L4K%202A1,401 Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/29/2024 12:00 AM CEST,Azurite Sea League Week #6,https://melee.gg/Tournament/View/166970,"10135 224th Street EastGraham, WA 98338US",https://www.google.com/maps/dir/?api=1&destination=10135%20224th%20Street%20East%2C%20Graham%2C%20WA%2098338,Next Level the Gamers Den,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/28/2024 10:00 PM CEST,Lorcana tournament,https://melee.gg/Tournament/View/159778,"231 W Main StreetSuite 103Denison, Texas 75020US",https://www.google.com/maps/dir/?api=1&destination=231%20W%20Main%20Street%2C%20Denison%2C%20Texas%2075020,Krayus Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/28/2024 9:00 PM CEST,Casual Games Lorcana League - December 28th,https://melee.gg/Tournament/View/144967,"2540 Shaughnessy StreetUnit #110Port Coquitlam, British Columbia V3B 0K3CA",https://www.google.com/maps/dir/?api=1&destination=2540%20Shaughnessy%20Street%2C%20Port%20Coquitlam%2C%20British%20Columbia%20V3B%200K3,Casual Games Ltd.,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/28/2024 8:00 PM CEST,December Lorcana League,https://melee.gg/Tournament/View/161219,"4107 Oleander DriveSuite D.Wilmington, NC 28403US",https://www.google.com/maps/dir/?api=1&destination=4107%20Oleander%20Drive%2C%20Wilmington%2C%20NC%2028403,Cape Fear Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
